catalogue_id,source,family,title,automation,tool,govux_category,reference,notes
UX4G-PLD-026,UX4G Mastersheet v3.0.0,Page Layout and Visual Design,Provide access to underlying data for graphs and charts,assisted,,design,WCAG 2.1 SC 1.1.1,
UX4G-PLD-027,UX4G Mastersheet v3.0.0,Page Layout and Visual Design,Apply visual hierarchy to guide attention and information flow,manual,,design,"WCAG 2.1 SC 1.4.1, 1.3.1; DBIM; GIGW 3.0 – 5.1",
UX4G-PLD-028,UX4G Mastersheet v3.0.0,Page Layout and Visual Design,Apply a systematic typography scale for readability and comprehension,automated,govux-engine,design,"WCAG 2.1 SC 1.4.8, 1.4.12; WCAG 2.2 SC 1.4.11; DBIM Typography; GIGW 3.0 – 5.2",
UX4G-PLD-029,UX4G Mastersheet v3.0.0,Page Layout and Visual Design,Apply a consistent visual identity system across all touchpoints,manual,,design,DBIM Sections 2–5; GIGW 3.0 – 5.1.1,
UX4G-PLD-030,UX4G Mastersheet v3.0.0,Page Layout and Visual Design,Maintain comprehensive design system documentation,assisted,,design,GIGW 3.0 – 5.1; DBIM Component Library & UX Kit,
UX4G-PLD-031,UX4G Mastersheet v3.0.0,Page Layout and Visual Design,Manage information density using grouping and progressive disclosure,manual,,design,"WCAG 2.1 SC 2.4.8, 1.3.1; GIGW 3.0 – 5.1",
UX4G-PLD-032,UX4G Mastersheet v3.0.0,Page Layout and Visual Design,Ensure interface affordances clearly communicate functionality,automated,govux-engine,design,"WCAG 2.1 SC 1.3.1, 3.2.4; GIGW 3.0 – 5.1",
UX4G-PLD-033,UX4G Mastersheet v3.0.0,Page Layout and Visual Design,Use rich media purposefully to enhance understanding without clutter,manual,,design,"GIGW 3.0 – 5.1; WCAG 2.1 SC 1.1.1, 1.4.2",
UX4G-PLD-034,UX4G Mastersheet v3.0.0,Page Layout and Visual Design,Implement platform-specific design patterns while maintaining unified brand identity,manual,,design,GIGW 3.0 – 5.1; DBIM Section 8,
UX4G-RES-001,UX4G Mastersheet v3.0.0,Responsiveness,Maintain consistent branding across all screen sizes,automated,govux-engine,responsiveness,GIGW 3.0 – 2.1.4; DBIM Branding Guidelines; BIS IS 17428:2020; BIS IS 17802:2022,
UX4G-RES-002,UX4G Mastersheet v3.0.0,Responsiveness,Design touch-friendly elements with adequate spacing,automated,govux-engine,responsiveness,GIGW 3.0 – 6.3.3; BIS IS 17802 (Part 2) 10.3.2; WCAG 2.2 SC 2.5.8,
UX4G-RES-003,UX4G Mastersheet v3.0.0,Responsiveness,Optimize images and media for responsive resizing,manual,,responsiveness,GIGW 3.0 – 6.3.4; WCAG 2.1 SC 1.4.10; BIS IS 17802 (Part 2) 10.2.4,
UX4G-RES-004,UX4G Mastersheet v3.0.0,Responsiveness,Optimize performance for mobile devices,automated,govux-engine,responsiveness,GIGW 3.0 – 6.2.2; WCAG 2.2 SC 2.2.1,
UX4G-RES-005,UX4G Mastersheet v3.0.0,Responsiveness,Use responsive containers to maintain layout structure,manual,,responsiveness,DBIM Responsive Design Guidelines; WCAG 2.2 SC 1.4.10; GIGW 3.0 Layout Consistency,
UX4G-RES-006,UX4G Mastersheet v3.0.0,Responsiveness,"Implement a flexible, adaptive grid layout across devices",manual,,responsiveness,WCAG 2.1 SC 1.4.10; GIGW 3.0 – 2.2.1; BIS IS 17802:2022 Part 2 – 4.3.2,
UX4G-RES-007,UX4G Mastersheet v3.0.0,Responsiveness,Adjust text size and line height for readable content across devices,manual,,responsiveness,"WCAG 2.1 SC 1.4.4, 1.4.12; GIGW 3.0 Accessibility",
UX4G-RES-008,UX4G Mastersheet v3.0.0,Responsiveness,Use CSS media queries to adapt styles by screen size,manual,,responsiveness,WCAG 2.1 SC 1.4.10; GIGW 3.0 Responsive Web Design,
UX4G-RES-009,UX4G Mastersheet v3.0.0,Responsiveness,Create fluid layouts using relative units,manual,,responsiveness,WCAG 2.1 SC 1.4.4; GIGW 3.0 Responsive Design,
UX4G-RES-010,UX4G Mastersheet v3.0.0,Responsiveness,Include viewport meta tag for proper mobile rendering,automated,govux-engine,responsiveness,GIGW 3.0 Responsive Web Design; DBIM Mobile Guidelines; BIS IS 17802:2022 Part 1 – 7.4.4; WCAG 2.2 SC 1.4.10,
UX4G-WTH-001,UX4G Mastersheet v3.0.0,Exploration Without Login,Allow exploration of key content without login,manual,,usability,GIGW 3.0 UX Discoverability; DBIM Section 3.3; BIS IS 17802:2022 Clause 8.3.1,
UX4G-WTH-002,UX4G Mastersheet v3.0.0,Exploration Without Login,Provide teaser or preview of premium features,manual,,usability,DBIM 3.3; GIGW 3.0 Engagement Design; BIS IS 17802:2022 Clause 8.3.3,
UX4G-WTH-003,UX4G Mastersheet v3.0.0,Exploration Without Login,Restrict interactive actions for non-logged-in users,manual,,usability,"GIGW 3.0 Security 2.3, 3.5.1; DBIM 4.3; BIS IS 17802:2022 Clause 6.2.4",
UX4G-WTH-004,UX4G Mastersheet v3.0.0,Exploration Without Login,Integrate single sign-on (SSO) for seamless authentication,automated,govux-engine,usability,GIGW 3.0 2.4.3; DBIM 3.4.2; BIS IS 17802:2022 Clause 6.5.1,
UX4G-WTH-005,UX4G Mastersheet v3.0.0,Exploration Without Login,Provide offline access to previously viewed content,manual,,usability,GIGW 3.0 3.4.6; DBIM 4.5.3; BIS IS 17802:2022 Clause 8.2.2,
UX4G-WTH-006,UX4G Mastersheet v3.0.0,Exploration Without Login,Prompt login when accessing restricted features,manual,,usability,GIGW 3.0 3.4.2; DBIM 4.1.3; BIS IS 17802:2022 Clause 6.1.2,
UX4G-WTH-007,UX4G Mastersheet v3.0.0,Exploration Without Login,Provide accessible and discoverable search for guest users,manual,,usability,"WCAG 2.1 SC 2.4.5, 3.3.2; WCAG G161; GIGW 3.0 – 5.1",
UX4G-WTH-008,UX4G Mastersheet v3.0.0,Exploration Without Login,Enable content sharing via social media and copy links,manual,,usability,GIGW 3.0 – 4.3.3; DBIM 3.3.2; BIS IS 17802:2022 Clause 6.4.1,
UX4G-WTH-009,UX4G Mastersheet v3.0.0,Exploration Without Login,Communicate registration value proposition clearly and voluntarily,manual,,usability,GIGW 3.0 – 5.1 User Engagement,
UX4G-LOG-001,UX4G Mastersheet v3.0.0,Login and Signup Guidelines,Integrate government-approved SSO API for seamless authentication,automated,govux-engine,usability,GIGW 3.0 – GuDApps SSO Integration; UX4G Authentication Guidelines,
UX4G-LOG-002,UX4G Mastersheet v3.0.0,Login and Signup Guidelines,Follow official SSO integration documentation for secure implementation,manual,,usability,GIGW 3.0 – Cybersecurity Standards; MeitY SSO Guidelines; UX4G SSO Compliance,
UX4G-LOG-003,UX4G Mastersheet v3.0.0,Login and Signup Guidelines,Place login/sign-up entry points prominently and consistently,automated,govux-engine,usability,GIGW 3.0 – Authentication Integration,
UX4G-LOG-004,UX4G Mastersheet v3.0.0,Login and Signup Guidelines,Maintain consistent official SSO branding across platforms,automated,govux-engine,usability,GIGW 3.0 – Branding & Identity; Meri Pehchaan Integration Handbook; UX4G Brand Consistency,
UX4G-LOG-005,UX4G Mastersheet v3.0.0,Login and Signup Guidelines,Enforce strong authentication security standards,manual,,usability,GIGW 3.0 – Authentication Security; Meri Pehchaan Security Guidelines; UX4G Handbook,
UX4G-LOG-006,UX4G Mastersheet v3.0.0,Login and Signup Guidelines,Clearly communicate data privacy policies and terms of service,automated,govux-engine,usability,GIGW 3.0 – Privacy & Transparency; UX4G Handbook Section 6.3,
UX4G-LOG-007,UX4G Mastersheet v3.0.0,Login and Signup Guidelines,Obtain explicit user consent before initiating SSO,automated,govux-engine,usability,GIGW 3.0 Section 5.3; DPDP Act 2023; UX4G Handbook Section 6.3,
UX4G-LOG-008,UX4G Mastersheet v3.0.0,Login and Signup Guidelines,Allow seamless linking of existing accounts with SSO credentials,manual,,usability,UX4G Handbook Section 4.10,
UX4G-LOG-009,UX4G Mastersheet v3.0.0,Login and Signup Guidelines,Simplify login and signup UI to minimize steps,automated,govux-engine,usability,GIGW 3.0 Usability; WCAG 2.2 SC 3.3.8; UX4G Handbook Section 4.1,
UX4G-LOG-010,UX4G Mastersheet v3.0.0,Login and Signup Guidelines,Conduct thorough testing of login and SSO integrations,manual,,usability,UX4G Integration Testing Guidelines,
UX4G-LOG-011,UX4G Mastersheet v3.0.0,Login and Signup Guidelines,Keep SSO integration updated with latest APIs and security patches,manual,,usability,UX4G Handbook Section 6.7 – API Maintenance & Security Compliance,
UX4G-LOG-012,UX4G Mastersheet v3.0.0,Login and Signup Guidelines,Use trust indicators to reassure users during login,manual,,usability,GIGW 3.0 – Visual Identity; DBIM Co-branding & Identity; UX4G Handbook Section 6.9,
UX4G-LOG-013,UX4G Mastersheet v3.0.0,Login and Signup Guidelines,Provide contextual error guidance and recovery mechanisms,manual,,usability,"WCAG 2.1 SC 3.3.1, 3.3.3, 3.3.4; GIGW 3.0 – 5.1",
UX4G-SEA-001,UX4G Mastersheet v3.0.0,Search,"Provide a search bar for large, exploration-heavy products",manual,,usability,"GIGW 3.0 – 2.2.12, 3.3.2; DBIM Search UI; WCAG 2.1 SC 2.4.5; BIS IS 17428:2020",
UX4G-SEA-002,UX4G Mastersheet v3.0.0,Search,Place search functionality prominently for quick access,manual,,usability,WCAG 2.1 SC 2.4.5; WCAG G161; GIGW 3.0 – 5.1,
UX4G-SEA-003,UX4G Mastersheet v3.0.0,Search,Provide auto-suggestions to improve search efficiency,manual,,usability,GIGW 3.0 – 3.3.3; DBIM Search Interaction; BIS IS 17428:2020,
UX4G-SEA-004,UX4G Mastersheet v3.0.0,Search,Clearly indicate whether search is global or local,automated,govux-engine,usability,GIGW 3.0 Search UX; WCAG 2.1 SC 2.4.5; WCAG G161,
UX4G-SEA-005,UX4G Mastersheet v3.0.0,Search,Enable filtering and sorting of search results,manual,,usability,WCAG 2.1 / 2.2 SC 3.3.5; GIGW 3.0 Search Usability,
UX4G-SEA-006,UX4G Mastersheet v3.0.0,Search,Provide auto-complete suggestions while typing,manual,,usability,"GIGW 3.0 Search UX; WCAG 2.1 / 2.2 SC 3.3.5, SC 3.2.2",
UX4G-SEA-007,UX4G Mastersheet v3.0.0,Search,Rank search results by relevance and importance,manual,,usability,"GIGW 3.0 Search Experience; WCAG 2.1 / 2.2 SC 3.3.5, SC 3.2.2",
UX4G-SEA-008,UX4G Mastersheet v3.0.0,Search,Support voice search for hands-free interaction,assisted,,usability,"GIGW 3.0 Accessibility; WCAG 2.1 / 2.2 SC 2.1.1, SC 4.1.2",
UX4G-SEA-009,UX4G Mastersheet v3.0.0,Search,Provide fast-loading results with visible loading feedback,manual,,usability,GIGW 3.0 Performance; WCAG 2.1 SC 4.1.3,
UX4G-SEA-010,UX4G Mastersheet v3.0.0,Search,Use lazy loading for large search result sets,manual,,usability,"GIGW 3.0 Performance; WCAG 2.1 / 2.2 SC 2.2.2, SC 4.1.3",
UX4G-SEA-011,UX4G Mastersheet v3.0.0,Search,Maintain consistent search placement and interaction across screens,manual,,usability,WCAG 2.1 SC 3.2.4; GIGW 3.0 Quality Guidelines 5.1,
UX4G-SEA-012,UX4G Mastersheet v3.0.0,Search,Align search bar visual styling with brand and design system,manual,,usability,DBIM UI Standards Section 8; GIGW 3.0 Quality Guidelines 5.1,
UX4G-PER-001,UX4G Mastersheet v3.0.0,Personalisation,Use consent-based personalisation to tailor content and features,manual,,usability,GIGW 3.0 – Functional Requirements & Privacy Principles; UX4G Handbook – Data-Driven UX; WCAG 2.2 SC 3.3.4,
UX4G-PER-002,UX4G Mastersheet v3.0.0,Personalisation,Ensure personal data collection complies with government data protection regulations,manual,,usability,GIGW 3.0 – Data Protection Compliance; UX4G Handbook – Privacy by Design; WCAG 2.2 SC 3.3.1,
UX4G-PER-003,UX4G Mastersheet v3.0.0,Personalisation,Provide theme options to support user visual comfort,manual,,usability,GIGW 3.0 – Accessibility & Usability; WCAG 2.1 SC 1.4.3; WCAG 2.2 SC 1.4.6,
UX4G-PER-004,UX4G Mastersheet v3.0.0,Personalisation,Allow users to adjust typography and layout for readability,manual,,usability,WCAG 2.1 SC 1.4.4; WCAG 2.1 SC 1.4.12; WCAG 2.1 SC 1.4.8; GIGW 3.0 Accessibility & Usability Practices,
UX4G-PER-005,UX4G Mastersheet v3.0.0,Personalisation,Recommend relevant content based on user interests and interactions,assisted,,usability,GIGW 3.0 Functional Requirements – Personalisation; WCAG 2.2 SC 3.2.2; UX4G Handbook – Content Recommendations,
UX4G-PER-006,UX4G Mastersheet v3.0.0,Personalisation,Provide location-based content with user control,assisted,,usability,GIGW 3.0 Functional Requirements – Context Awareness; WCAG 2.2 SC 2.4.5; UX4G Handbook – Location-Based UX,
UX4G-PER-007,UX4G Mastersheet v3.0.0,Personalisation,Allow users to customize notification preferences,assisted,,usability,GIGW 3.0 User-Centric Design; WCAG 2.2 SC 2.2.4; WCAG 2.2 SC 3.3.2; UX4G Handbook – Notification UX,
UX4G-PER-008,UX4G Mastersheet v3.0.0,Personalisation,Prioritize notifications based on importance and user behavior,assisted,,usability,WCAG 2.2 SC 4.1.3; WCAG 2.1 SC 3.2.2; GIGW 3.0 Usability & Predictable UX,
UX4G-PER-009,UX4G Mastersheet v3.0.0,Personalisation,Synchronize personalization changes in real time,assisted,,usability,GIGW 3.0 API Integration Guidelines; UX4G Handbook – Personalization Systems,
UX4G-PER-010,UX4G Mastersheet v3.0.0,Personalisation,"Ensure ethical, transparent, and non-manipulative personalization",manual,,usability,WCAG 2.1 SC 3.2.5; GIGW 3.0 Quality Guidelines 5.1; UX4G Ethical UX Principles,
UX4G-TO-001,UX4G Mastersheet v3.0.0,Task Orientation,Avoid irrelevant information to maintain task focus,manual,,usability,WCAG 2.1 SC 3.1.5; GIGW 3.0 SC 3.6.2; DBIM Clause 4.1; BIS IS 17802:2022 Clause 7.3.3,
UX4G-TO-002,UX4G Mastersheet v3.0.0,Task Orientation,Use multimedia only when it supports the task,assisted,,usability,WCAG 2.1 SC 2.2.2; GIGW 3.0 SC 3.6.4; DBIM Clause 4.2; BIS IS 17802:2022 Clause 6.3.4,
UX4G-TO-003,UX4G Mastersheet v3.0.0,Task Orientation,Avoid unnecessary registration for primary tasks,manual,,usability,WCAG 2.1 SC 3.3.6; GIGW 3.0 SC 3.5.4; BIS IS 17802:2022 Clause 6.3.2,
UX4G-TO-004,UX4G Mastersheet v3.0.0,Task Orientation,Minimize steps and screens to complete tasks,assisted,,usability,GIGW 3.0 SC 3.6.2; DBIM Clause 4.1; BIS IS 17802:2022 Clause 6.3.1,
UX4G-TO-005,UX4G Mastersheet v3.0.0,Task Orientation,Align digital task flow with real-world order,assisted,,usability,GIGW 3.0 SC 3.4.3,
UX4G-TO-006,UX4G Mastersheet v3.0.0,Task Orientation,Reduce manual effort through automated inputs,assisted,,usability,GIGW 3.0 SC 3.4.7 – Assistance with Forms,
UX4G-TO-007,UX4G Mastersheet v3.0.0,Task Orientation,Enable comparison to support informed decisions,assisted,,usability,GIGW 3.0 SC 3.4.11; BIS IS 17802:2022 SC 6.3.2; DBIM Clause 4.5,
UX4G-TO-008,UX4G Mastersheet v3.0.0,Task Orientation,Place frequently used features in easily accessible areas,automated,govux-engine,usability,GIGW 3.0 SC 3.3.2; DBIM Clause 3.2; BIS IS 17802:2022 SC 6.2.3,
UX4G-TO-009,UX4G Mastersheet v3.0.0,Task Orientation,Prevent repeated data entry across tasks,manual,,usability,GIGW 3.0 SC 6.1.1; DBIM Clause 5.1; BIS IS 17802:2022 SC 7.3.2,
UX4G-TO-010,UX4G Mastersheet v3.0.0,Task Orientation,Show task progress and remaining steps clearly,assisted,,usability,GIGW 3.0 SC 6.2.1; BIS IS 17802:2022 SC 7.3.4; DBIM Clause 5.2,
UX4G-TO-011,UX4G Mastersheet v3.0.0,Task Orientation,Support recognition over recall across sections,manual,,usability,WCAG 2.1 SC 3.3.7 (AAA); GIGW 3.0 SC 6.2.4; BIS IS 17802:2022 SC 6.5.1; DBIM SC 4.3,
UX4G-TO-012,UX4G Mastersheet v3.0.0,Task Orientation,Use familiar metaphors and culturally appropriate formats,assisted,,usability,WCAG 2.1 SC 3.1.2; GIGW 3.0 SC 6.1.6; BIS IS 17802:2022 SC 7.3.1; DBIM SC 4.2,
UX4G-TO-013,UX4G Mastersheet v3.0.0,Task Orientation,Hide system internals and avoid technical jargon,assisted,,usability,GIGW 3.0 SC 4.4.2; DBIM SC 4.3; BIS IS 17802:2022 SC 7.4.2,
UX4G-TO-014,UX4G Mastersheet v3.0.0,Task Orientation,Provide recovery paths for critical errors,manual,,usability,WCAG 2.1 SC 3.3.6 (AAA),
UX4G-TO-015,UX4G Mastersheet v3.0.0,Task Orientation,Enable self-sufficiency for common tasks,assisted,,usability,GIGW 3.0 SC 2.4.3,
UX4G-TO-016,UX4G Mastersheet v3.0.0,Task Orientation,Allow users to resume tasks after interruption,assisted,,usability,WCAG 2.1 SC 3.2.5; BIS IS 17802:2022 SC 6.3.4,
UX4G-TO-017,UX4G Mastersheet v3.0.0,Task Orientation,Provide sorting and filtering for content-heavy interfaces,manual,,usability,BIS IS 17802:2022 SC 6.6.2,
UX4G-TO-018,UX4G Mastersheet v3.0.0,Task Orientation,Ensure buttons and icons clearly reflect intended actions,assisted,,usability,WCAG 2.1 SC 1.1.1; BIS IS 17802:2022 SC 6.3.3,
UX4G-TO-019,UX4G Mastersheet v3.0.0,Task Orientation,Warn users before automatic session timeout,manual,,usability,WCAG 2.1 SC 2.2.1; GIGW 3.0 SC 2.7.2,
UX4G-TO-020,UX4G Mastersheet v3.0.0,Task Orientation,Support both novice and expert users,assisted,,usability,WCAG 2.1 SC 3.3.5 (AAA); DBIM Section 4,
UX4G-TO-021,UX4G Mastersheet v3.0.0,Task Orientation,Allow users to edit provided information,manual,,usability,GIGW 3.0 SC 2.7.3; BIS IS 17802:2022 SC 6.5.2,
UX4G-TO-022,UX4G Mastersheet v3.0.0,Task Orientation,Provide step-by-step onboarding for new users,assisted,,usability,GIGW 3.0 SC 4.4.1; WCAG 2.1 SC 3.3.6; DBIM SC 5.1.2; BIS IS 17802:2022 SC 6.1.3,
UX4G-TO-023,UX4G Mastersheet v3.0.0,Task Orientation,Use buttons for commands and actions instead of links,automated,govux-engine,usability,GIGW 3.0 SC 4.4.5; BIS IS 17802:2022 SC 7.3.5; DBIM SC 4.4,
UX4G-TO-024,UX4G Mastersheet v3.0.0,Task Orientation,Provide real-time validation for incorrect inputs,assisted,,usability,"WCAG 2.1 SC 3.3.1, 3.3.3; GIGW 3.0 4.3.6; BIS IS 17802:2022 5.6.4",
UX4G-TO-025,UX4G Mastersheet v3.0.0,Task Orientation,Make primary call-to-action buttons prominent and distinct,assisted,,usability,"WCAG 2.1 SC 2.5.5, 2.4.3; GIGW 3.0 Quality 5.1",
UX4G-TO-026,UX4G Mastersheet v3.0.0,Task Orientation,Trigger data submission and state changes only through explicit user actions,manual,,usability,WCAG 2.1 SC 3.2.2; WCAG 2.2 SC 3.2.6,
UX4G-NIA-001,UX4G Mastersheet v3.0.0,Navigation and Information Architecture,Make webpage titles clearly accessible and recognizable,automated,govux-engine,usability,WCAG 2.1 SC 2.4.2; GIGW 3.0 3.2.3; BIS IS 17428:2020 8.1.4; DBIM Navigation,
UX4G-NIA-002,UX4G Mastersheet v3.0.0,Navigation and Information Architecture,Maintain a clear and logical navigation hierarchy,manual,,usability,"GIGW 3.0 SC 2.4.1; WCAG 2.1 SC 2.4.6, 2.4.10",
UX4G-NIA-003,UX4G Mastersheet v3.0.0,Navigation and Information Architecture,Ensure primary navigation elements are clearly labeled and accessible,automated,govux-engine,usability,"WCAG 2.1 SC 2.4.4, 2.4.6; GIGW 3.0 2.4.2; BIS IS 17802:2022 6.5.2",
UX4G-NIA-004,UX4G Mastersheet v3.0.0,Navigation and Information Architecture,Maintain consistent navigation patterns across pages,manual,,usability,WCAG 2.1 SC 3.2.3; GIGW 3.0 3.1.2,
UX4G-NIA-005,UX4G Mastersheet v3.0.0,Navigation and Information Architecture,Keep key navigation elements persistent across main screens,manual,,usability,WCAG 2.1 SC 3.2.3; GIGW 3.0 3.1.2; BIS IS 17802:2022 6.4.1,
UX4G-NIA-006,UX4G Mastersheet v3.0.0,Navigation and Information Architecture,"Place navigation elements in prominent, expected locations",automated,govux-engine,usability,BIS IS 17802:2022 6.4.2; GIGW 3.0 3.1.1,
UX4G-NIA-007,UX4G Mastersheet v3.0.0,Navigation and Information Architecture,Ensure navigation elements meet minimum target size,automated,govux-engine,usability,WCAG 2.1 SC 2.5.5; GIGW 3.0 3.1.2; BIS IS 17802:2022 6.3.1,
UX4G-NIA-008,UX4G Mastersheet v3.0.0,Navigation and Information Architecture,Provide visual feedback on navigation interaction,manual,,usability,WCAG 2.1 SC 3.2.1; GIGW 3.0 3.2.2; BIS IS 17802:2022 6.3.4,
UX4G-NIA-009,UX4G Mastersheet v3.0.0,Navigation and Information Architecture,"Use smooth, non-disruptive transitions between screens",manual,,usability,WCAG 2.1 SC 3.2.3; DBIM 2.5,
UX4G-NIA-010,UX4G Mastersheet v3.0.0,Navigation and Information Architecture,Support standard back navigation patterns,manual,,usability,WCAG 2.1 SC 2.4.5; GIGW 3.0 2.4.7,
UX4G-NIA-011,UX4G Mastersheet v3.0.0,Navigation and Information Architecture,Use breadcrumbs for deep navigation paths,manual,,usability,WCAG 2.1 SC 2.4.8; GIGW 3.0 3.2.2,
UX4G-NIA-012,UX4G Mastersheet v3.0.0,Navigation and Information Architecture,Structure information architecture around user needs,manual,,usability,GIGW 3.0 3.2.1; BIS IS 17802:2022 5.4.2,
UX4G-NIA-013,UX4G Mastersheet v3.0.0,Navigation and Information Architecture,Group related content logically,automated,govux-engine,usability,WCAG 2.1 SC 2.4.6; GIGW 3.0 SC 4.2.2; BIS IS 17802:2022 5.4.2,
UX4G-NIA-014,UX4G Mastersheet v3.0.0,Navigation and Information Architecture,Keep information architecture shallow,manual,,usability,GIGW 3.0 SC 4.2.1; WCAG 2.1 SC 2.4.1,
UX4G-NIA-015,UX4G Mastersheet v3.0.0,Navigation and Information Architecture,Apply consistent structure to similar sections,automated,govux-engine,usability,WCAG 2.1 SC 3.2.3; GIGW 3.0 SC 4.3.2,
UX4G-NIA-016,UX4G Mastersheet v3.0.0,Navigation and Information Architecture,Provide multiple pathways to important content,manual,,usability,WCAG 2.1 SC 2.4.5; GIGW 3.0 SC 4.3.2; BIS IS 17802:2022 6.3,
UX4G-NIA-017,UX4G Mastersheet v3.0.0,Navigation and Information Architecture,Continuously refine IA based on user feedback,manual,,usability,GIGW 3.0 SC 6.2.1; BIS IS 17802:2022 6.2.1,
UX4G-LFS-001,UX4G Mastersheet v3.0.0,"Lists, Filters, and Sorting",Structure list items for scanability,manual,,usability,WCAG 2.1 SC 1.3.1; GIGW 3.0 SC 5.2.1; BIS IS 17802:2022 6.1.2,
UX4G-LFS-002,UX4G Mastersheet v3.0.0,"Lists, Filters, and Sorting",Maintain consistent list styling,automated,govux-engine,usability,GIGW 3.0 SC 5.2.3,
UX4G-LFS-003,UX4G Mastersheet v3.0.0,"Lists, Filters, and Sorting",Use visual separators between items,automated,govux-engine,usability,GIGW 3.0 SC 5.2.4,
UX4G-LFS-004,UX4G Mastersheet v3.0.0,"Lists, Filters, and Sorting",Ensure list items are easily clickable,automated,govux-engine,usability,WCAG 2.1 SC 2.5.5; WCAG 2.2 SC 2.5.8; BIS IS 17802:2022 6.2.3,
UX4G-LFS-005,UX4G Mastersheet v3.0.0,"Lists, Filters, and Sorting",Provide visual feedback on selection,manual,,usability,WCAG 2.1 SC 2.4.7; GIGW 3.0 SC 5.4.2,
UX4G-LFS-006,UX4G Mastersheet v3.0.0,"Lists, Filters, and Sorting",Optimize performance for large lists,manual,,usability,GIGW 3.0 SC 5.5.4,
UX4G-LFS-007,UX4G Mastersheet v3.0.0,"Lists, Filters, and Sorting",Show loading indicators for dynamic lists,manual,,usability,WCAG 2.1 SC 3.2.2; GIGW 3.0 SC 5.4.1; BIS IS 17802:2022 7.6.3,
UX4G-LFS-008,UX4G Mastersheet v3.0.0,"Lists, Filters, and Sorting","Place filters in prominent, accessible locations",automated,govux-engine,usability,WCAG 2.1 SC 2.4.3; WCAG 2.1 SC 3.2.3; GIGW 3.0,
UX4G-LFS-009,UX4G Mastersheet v3.0.0,"Lists, Filters, and Sorting",Use collapsible filter sections for dense filter sets,manual,,usability,WCAG 2.1 SC 2.4.1; GIGW 3.0 SC 5.3.2; DBIM 4.4,
UX4G-LFS-010,UX4G Mastersheet v3.0.0,"Lists, Filters, and Sorting","Use clear, jargon-free filter labels",manual,,usability,WCAG 2.1 SC 2.4.6; GIGW 3.0 SC 5.4.1; BIS IS 17802:2022 7.2.4,
UX4G-LFS-011,UX4G Mastersheet v3.0.0,"Lists, Filters, and Sorting",Support multi-select filtering where applicable,manual,,usability,GIGW 3.0 SC 6.1.2; DBIM 4.4; BIS IS 17802:2022 8.3.1,
UX4G-LFS-012,UX4G Mastersheet v3.0.0,"Lists, Filters, and Sorting",Apply filters efficiently with clear interaction model,manual,,usability,GIGW 3.0 SC 6.1.3; BIS IS 17802:2022 8.3.2,
UX4G-LFS-013,UX4G Mastersheet v3.0.0,"Lists, Filters, and Sorting",Show visual confirmation of active filters,manual,,usability,GIGW 3.0 SC 6.2.1; BIS IS 17802:2022 7.5.3; DBIM 4.4,
UX4G-LFS-014,UX4G Mastersheet v3.0.0,"Lists, Filters, and Sorting",Provide clear option to reset all filters,manual,,usability,WCAG 2.1 SC 3.3.6; GIGW 3.0 SC 6.2.2; BIS IS 17802:2022 7.5.4; DBIM 4.5,
UX4G-LFS-015,UX4G Mastersheet v3.0.0,"Lists, Filters, and Sorting",Persist user filter preferences across sessions,manual,,usability,GIGW 3.0 SC 6.2.4; DBIM 4.3; BIS IS 17802:2022 7.4.2,
UX4G-LFS-016,UX4G Mastersheet v3.0.0,"Lists, Filters, and Sorting",Allow users to create and save custom filter presets,manual,,usability,GIGW 3.0 SC 6.2.4,
UX4G-LFS-017,UX4G Mastersheet v3.0.0,"Lists, Filters, and Sorting",Provide relevant sorting options,manual,,usability,GIGW 3.0 SC 6.3.1,
UX4G-LFS-018,UX4G Mastersheet v3.0.0,"Lists, Filters, and Sorting",Define a logical default sorting order,manual,,usability,GIGW 3.0 SC 6.3.1,
UX4G-LFS-019,UX4G Mastersheet v3.0.0,"Lists, Filters, and Sorting",Allow ascending and descending sort toggling,manual,,usability,WCAG 2.1 SC 2.4.5; DBIM 4.2; BIS IS 17802:2022 7.3.5,
UX4G-LFS-020,UX4G Mastersheet v3.0.0,"Lists, Filters, and Sorting",Enable combination sorting where contextually useful,manual,,usability,GIGW 3.0 SC 6.3.1,
UX4G-LFS-021,UX4G Mastersheet v3.0.0,"Lists, Filters, and Sorting",Display clear indicators for current sort order,manual,,usability,GIGW 3.0 SC 6.3.2; DBIM 4.3,
UX4G-LFS-022,UX4G Mastersheet v3.0.0,"Lists, Filters, and Sorting",Highlight the active sorting option,manual,,usability,WCAG 2.1 SC 1.3.1; SC 2.4.7; GIGW 3.0 SC 6.3.2,
UX4G-FDE-001,UX4G Mastersheet v3.0.0,Forms and Data Entry,Limit forms to essential fields only,automated,govux-engine,usability,WCAG 2.1 SC 3.3.2; WCAG 2.2 SC 1.3.5; GIGW 3.0 Accessible Forms,
UX4G-FDE-002,UX4G Mastersheet v3.0.0,Forms and Data Entry,Use multi-step forms for long data entry,manual,,usability,WCAG 2.1 SC 3.3.2; SC 3.3.5; GIGW 3.0 Progressive Disclosure,
UX4G-FDE-003,UX4G Mastersheet v3.0.0,Forms and Data Entry,Show clear progress indicators in multi-step forms,manual,,usability,WCAG 2.2 SC 2.5.3; SC 2.4.6; GIGW 3.0 Process Guidance,
